tagnum,Easting,Northing,elevation,precision
%d,%f,%f,%f,%s
230500,653482.6082,4859015.008,102.8055,20CM
230502,653470.7077,4859028.209,103.1362,20CM
230503,653426.9902,4859060.27,103.5409,20CM
230507,653483.5468,4859014.016,102.7953,20CM
230529,653460.2337,4859052.629,103.1344,20CM
230549,653462.2318,4859047.58,103.439,1M
230555,653563.1,4858993.8,72.4,5m
230556,653460.2419,4859050.766,103.4359,20CM
230558,653421.0865,4859066.166,103.6497,20CM
230564,653445.3584,4859056.133,103.6018,20CM
230565,653443.3504,4859058.244,103.5425,20CM
230570,653419.5827,4859067.895,103.726,20CM
230575,653436.0917,4859054.781,103.4522,20CM
230578,653448.907,4859056.917,103.4188,20CM
230579,653452.2606,4859054.477,103.3965,20CM
230594,653422.7583,4859058.733,103.6608,20CM
230627,653426.4648,4859058.138,103.4639,20CM
230628,653420.2602,4859066.836,103.708,20CM
230633,653494.4213,4859008.127,101.5826,1M
230634,653463.1236,4859045.017,103.0444,20CM
230641,653464.1132,4859039.148,103.1195,20CM
230644,653508.5714,4859014.691,101.3161,1M
230653,653463.0277,4859045.377,103.0705,20CM
230657,653464.0714,4859047.861,102.7453,1M
230659,653450.6957,4859056.951,103.1996,20CM
230661,653422.1912,4859058.086,103.5999,20CM
230662,653419.9879,4859068.192,103.6712,20CM
230668,653482.0598,4859014.075,102.7525,20CM
230670,653514.2734,4859015.071,100.8383,1M
230691,653488.6757,4859011.103,102.8747,1M
230697,653464.2292,4859047.998,102.5873,1M
230698,653468.8203,4859037.058,103.4328,20CM
230712,653464.5063,4859038.281,103.1006,20CM
230732,653493.2436,4859006.899,101.1273,1M
230739,653453.689,4859056.093,103.2795,20CM
230741,653420.3312,4859068.033,103.6757,20CM
230755,653461.2773,4859052.533,103.0947,1M
230763,653423.3909,4859058.348,103.6595,20CM
230781,653448.5326,4859056.399,103.3966,20CM
230783,653508.0749,4859013.42,101.3847,1M
230786,653426.8163,4859058.573,103.4512,20CM
230789,653448.2943,4859056.475,103.4787,20CM
230797,653421.0745,4859065.684,103.6307,20CM
230799,653423.0509,4859060.141,103.6063,20CM
230800,653426.4217,4859058.912,103.4832,20CM
230811,652191.2,4861016.5,97.56,3m
230824,653422.0164,4859065.016,103.5776,20CM
230825,653422.6143,4859061.966,103.5245,20CM
230826,653421.6144,4859066.798,103.6766,20CM
230830,653485.5495,4859009.242,102.4032,20CM
230844,653442.7542,4859054.851,103.6724,20CM
230852,653420.835,4859066.262,103.6459,20CM
230853,653483.0233,4859015.001,102.879,20CM
230855,653447.4369,4859056.1,103.5397,20CM
230857,653510.8494,4859012.957,101.0401,1M
230867,653487.5047,4859010.812,102.8209,1M
230895,653419.7082,4859068.582,103.6707,20CM
230901,653447.3186,4859057.16,103.4332,20CM
230903,653420.1585,4859066.178,103.7056,20CM
230912,653444.5219,4859054.799,103.5173,20CM
230914,653445.7762,4859056.022,103.6163,20CM
230923,653428.9938,4859058.703,103.6762,20CM
230933,653449.0045,4859056.209,103.4383,20CM
230935,653465.7018,4859040.097,102.9329,20CM
230942,653443.2319,4859054.669,103.7177,20CM
230943,653427.3809,4859059.483,103.5517,20CM
230944,653427.4694,4859060.514,103.6483,20CM
230947,653422.0664,4859066.05,103.6942,20CM
230950,653556.9,4859013.4,63.19,5m
230952,653463.8321,4859049.37,102.6296,1M
230953,653462.8164,4859049.955,102.9229,1M
230956,653471.1316,4859030.041,103.2534,20CM
230958,653420.5933,4859065.508,103.6615,20CM
230960,653450.2497,4859056.602,103.3856,20CM
230966,653418.821,4859068.923,103.7287,20CM
230985,652178.7,4861021.9,96.12,3.5m
230986,653451.3297,4859053.749,103.4613,20CM
230990,653422.395,4859060.992,103.5933,20CM
231003,653475.0329,4859019.344,102.9739,20CM
231020,653419.0618,4859068.381,103.7021,20CM
231021,653424.4192,4859056.798,103.4492,20CM
231029,653419.2866,4859068.894,103.6825,20CM
231041,653501.7804,4859003.999,101.6232,1M
231042,653419.8323,4859067.738,103.6876,20CM
231044,653419.9566,4859067.571,103.6987,20CM
231053,653464.1659,4859045.753,102.7995,20CM
231057,653476.2534,4859018.531,103.0205,20CM
231062,653455.3528,4859053.545,103.575,20CM
231067,653442.3059,4859054.532,103.5386,20CM
231078,653419.338,4859066.704,103.7856,20CM
231084,653419.7379,4859065.089,103.6403,20CM
231105,653506.1456,4859013.63,101.4493,20CM
231126,653420.4169,4859066.282,103.6793,20CM
231130,653424.8778,4859060.986,103.6055,20CM
231131,653420.7257,4859066.6,103.6268,20CM
231133,653489.428,4859009.503,102.7313,1M
231134,653420.2586,4859066.489,103.7075,20CM
231136,653465.6398,4859038.461,103.0727,20CM
231139,653462.7249,4859051.219,102.8063,20CM
231157,653424.9053,4859056.463,103.4147,20CM
231163,653428.7494,4859059.383,103.778,20CM
231165,653424.1954,4859057.239,103.5956,20CM
231170,653450.9854,4859055.819,103.4759,20CM
231173,653452.8552,4859056.052,103.2241,20CM
231179,653422.3784,4859058.886,103.6632,20CM
231185,653424.4396,4859057.425,103.6092,20CM
231192,653423.0033,4859058.13,103.6349,20CM
231193,653423.1105,4859058.548,103.6269,20CM
231196,653419.1698,4859066.925,103.7745,20CM
231198,653460.9936,4859050.786,103.3538,1M
231199,653463.477,4859043.342,102.9682,1M
231204,653487.7334,4859010.31,102.7282,1M
231206,653419.9852,4859067.089,103.7228,20CM
231209,653428.2947,4859059.364,103.7068,20CM
231210,653422.8166,4859061.447,103.5535,20CM
231211,653428.0522,4859059.352,103.6176,20CM
231212,653486.6246,4859011.505,102.8976,20CM
231213,653463.0357,4859046.614,103.1362,20CM
231217,653462.6961,4859050.824,102.8413,20CM
231224,653422.3691,4859059.542,103.6816,20CM
231228,653482.2043,4859014.509,102.7654,20CM
231232,653558.5,4858999.7,65.52,5m
231238,653462.9279,4859050.35,102.7017,1M
231241,653444.6468,4859055.22,103.5415,20CM
231247,653461.9253,4859050.375,103.2587,20CM
231255,653473.9481,4859024.362,103.0902,20CM
231259,653422.6265,4859060.4,103.615,20CM
231260,653421.6354,4859065.978,103.6184,20CM
231262,653421.9473,4859064.183,103.5865,20CM
231264,653425.3142,4859061.5,103.4645,20CM
231269,653506.2462,4859009.323,101.3117,20CM
231271,653443.4499,4859054.614,103.736,20CM
231280,653421.1557,4859065.37,103.617,20CM
231282,653482.9459,4859012.018,102.6375,20CM
231283,653448.1989,4859056.145,103.4304,20CM
231286,653419.9899,4859068.723,103.6452,20CM
231292,653427.8292,4859059.405,103.56,20CM
231294,653428.4681,4859059.432,103.7456,20CM
231295,653441.6584,4859052.736,103.3422,20CM
231302,653431.8768,4859056.821,103.5336,20CM
231303,653462.6821,4859046.827,103.2715,1M
231311,653449.0817,4859056.729,103.4413,20CM
231314,653432.9933,4859056.715,103.6425,20CM
231320,653418.5916,4859068.55,103.7272,20CM
231329,653419.0647,4859067.315,103.7703,20CM
231338,653419.2771,4859067.69,103.7611,20CM
231339,653421.066,4859065.094,103.6959,20CM
231344,653419.7788,4859066.428,103.7186,20CM
231354,653423.411,4859061.306,103.5767,20CM
231376,653458.2642,4859057.451,103.1828,20CM
231377,653427.7632,4859059.859,103.6181,20CM
231381,653453.3512,4859056.217,103.2168,20CM
231382,653480.7138,4859014.966,102.7334,20CM
