tagnum,Easting,Northing,elevation,precision
%d,%f,%f,%f,%s
230500,653455.0745,4859056.851,103.1573,20CM
230502,653454.3336,4859057.106,103.1733,1M
230503,653423.3148,4859063.215,103.62,20CM
230507,653423.4372,4859060.888,103.6388,20CM
230513,653447.1011,4859056.474,103.5358,20CM
230529,653458.38,4859054.425,103.3632,20CM
230544,653450.2753,4859057.373,103.4174,1M
230555,653450.6081,4859055.192,103.5431,1M
230556,653443.5477,4859056.281,103.6696,20CM
230564,653445.4633,4859056.171,103.6416,20CM
230565,653421.3275,4859063.89,103.6859,20CM
230569,653443.13,4859056.571,103.6984,X
230570,653419.5423,4859067.846,103.7213,20CM
230575,653421.9694,4859067.339,103.7598,20CM
230579,653448.2716,4859054.837,103.6323,20CM
230594,653422.8705,4859058.938,103.6377,20CM
230627,653421.5398,4859064.21,103.7004,20CM
230628,653420.2035,4859067.565,103.6867,20CM
230633,653445.658,4859057.5,103.5285,20CM
230634,653448.9996,4859058.576,103.4947,20CM
230641,653450.4438,4859056.078,103.4511,1M
230643,653450.7901,4859056.232,103.3961,1M
230644,653423.3195,4859063.863,103.6632,20CM
230653,653443.8786,4859056.071,103.6626,20CM
230657,653424.3058,4859060.532,103.7214,20CM
230659,653450.3929,4859056.883,103.367,1M
230661,653422.3091,4859058.296,103.6073,20CM
230662,653419.9874,4859068.18,103.6735,20CM
230668,653450.2927,4859055.437,103.5497,1M
230670,653449.835,4859055.23,103.5681,1M
230684,653422.5461,4859062.136,103.5385,20CM
230687,653441.3553,4859055.682,103.6496,20CM
230691,653448.4598,4859057.422,103.4281,20CM
230698,653422.81,4859065.09,103.7082,20CM
230712,653423.5702,4859063.064,103.6246,20CM
230732,653449.3227,4859056.635,103.424,20CM
230739,653443.978,4859055.329,103.5601,20CM
230741,653420.0825,4859067.812,103.7106,20CM
230755,653421.3888,4859062.794,103.6465,20CM
230763,653422.6534,4859063.014,103.6403,20CM
230772,653449.9652,4859057.142,103.4305,20CM
230781,653448.663,4859056.678,103.4477,20CM
230783,653444.6455,4859056.413,103.6795,20CM
230786,653421.6459,4859063.624,103.6681,20CM
230799,653423.2038,4859059.974,103.6759,20CM
230800,653420.4735,4859067.268,103.6907,20CM
230803,653422.476,4859058.784,103.6573,20CM
230806,653452.9361,4859056.875,103.2867,20CM
230824,653420.5992,4859067.04,103.656,20CM
230825,653422.6803,4859061.769,103.5741,20CM
230826,653420.4629,4859068.076,103.7042,20CM
230829,653441.3764,4859053.914,103.4608,20CM
230838,653442.1709,4859055.343,103.6486,20CM
230844,653442.6807,4859054.699,103.6237,20CM
230852,653420.4062,4859066.949,103.6955,20CM
230853,653444.5106,4859057.093,103.6328,20CM
230855,653447.3606,4859056.136,103.5619,20CM
230857,653440.9614,4859055.014,103.5614,20CM
230867,653444.3817,4859055.971,103.6829,20CM
230869,653442.1361,4859054.32,103.6705,20CM
230895,653419.5672,4859068.763,103.6887,20CM
230897,653462.0138,4859051.98,103.1296,20CM
230901,653422.0792,4859066.807,103.7435,20CM
230903,653420.2408,4859066.126,103.7002,20CM
230912,653442.3895,4859054.189,103.5395,20CM
230914,653445.9296,4859056.109,103.6017,20CM
230923,653421.3285,4859064.37,103.6862,20CM
230933,653449.178,4859056.348,103.4332,20CM
230935,653422.437,4859065.802,103.7091,20CM
230942,653443.3023,4859054.56,103.6435,20CM
230943,653423.3802,4859061.226,103.6001,20CM
230944,653422.8866,4859062.217,103.6109,20CM
230947,653421.5852,4859065.966,103.6385,20CM
230950,653454.7941,4859056.468,103.1674,20CM
230952,653420.6811,4859067.279,103.6537,20CM
230953,653421.7677,4859062.908,103.5692,20CM
230956,653462.45,4859051.659,102.8818,20CM
230958,653420.772,4859065.68,103.6698,20CM
230960,653450.175,4859056.53,103.4099,1M
230963,653441.2414,4859054.67,103.585,20CM
230966,653418.8923,4859068.891,103.7399,20CM
230984,653444.0761,4859055.625,103.6562,20CM
230986,653447.4412,4859054.068,103.6493,1M
230990,653422.2756,4859061.557,103.567,20CM
231003,653446.2455,4859057.015,103.6249,20CM
231020,653419.0625,4859068.404,103.7052,20CM
231021,653424.5147,4859056.092,103.3828,1M
231029,653419.2295,4859068.902,103.7198,20CM
231041,653448.6707,4859055.32,103.5114,20CM
231044,653419.8692,4859067.595,103.7142,20CM
231053,653421.6263,4859064.798,103.6801,20CM
231054,653420.9895,4859063.086,103.6831,20CM
231057,653423.1567,4859062.923,103.673,20CM
231062,653445.2098,4859055.12,103.5463,20CM
231067,653442.3007,4859054.617,103.6717,20CM
231078,653419.2451,4859066.607,103.8009,20CM
231084,653418.7359,4859067.818,103.7799,20CM
231105,653444.6194,4859055.462,103.5866,20CM
231126,653420.5067,4859066.335,103.6505,20CM
231130,653422.4976,4859062.771,103.6055,20CM
231131,653420.7488,4859066.471,103.6557,20CM
231133,653422.6666,4859065.395,103.7027,20CM
231134,653420.3286,4859066.628,103.7173,20CM
231136,653449.7031,4859058.274,103.4517,20CM
231139,653449.0015,4859056.582,103.4327,20CM
231142,653444.7635,4859056.45,103.678,20CM
231157,653424.8306,4859056.387,103.4053,20CM
231163,653422.1177,4859062.642,103.5664,20CM
231165,653424.1393,4859057.212,103.5971,20CM
231170,653443.4095,4859055.268,103.5404,20CM
231173,653445.4194,4859057.561,103.4913,20CM
231179,653422.1474,4859059.145,103.6515,20CM
231180,653422.417,4859058.07,103.5915,20CM
231185,653422.4146,4859062.616,103.5894,20CM
231187,653445.715,4859057.194,103.6196,20CM
231192,653423.1385,4859058.125,103.5994,20CM
231193,653423.1069,4859058.861,103.6583,20CM
231195,653440.8457,4859056.496,103.5855,20CM
231196,653419.1028,4859067.106,103.8,20CM
231198,653450.6627,4859056.888,103.3724,1M
231199,653423.9022,4859061.758,103.6344,20CM
231202,653448.3728,4859056.782,103.5309,20CM
231204,653443.3233,4859056.081,103.7057,20CM
231205,653441.8818,4859055.327,103.6402,20CM
231206,653420.0715,4859067.175,103.7378,20CM
231209,653421.8866,4859063.394,103.6679,20CM
231210,653422.7946,4859061.533,103.5764,20CM
231211,653422.3165,4859061.99,103.5751,20CM
231212,653422.1727,4859065.892,103.7004,20CM
231213,653423.3986,4859061.443,103.6184,20CM
231217,653422.0722,4859062.941,103.5742,20CM
231224,653422.1825,4859059.462,103.71,20CM
231228,653444.1375,4859057.004,103.6777,20CM
231229,653445.7759,4859056.532,103.6331,20CM
231232,653458.3465,4859053.881,103.3538,20CM
231237,653449.4622,4859056.181,103.4578,20CM
231238,653442.097,4859055.485,103.6118,20CM
231240,653422.6217,4859059.201,103.6351,20CM
231241,653444.603,4859055.095,103.5562,20CM
231255,653449.8677,4859056.373,103.4374,20CM
231259,653422.526,4859060.408,103.5967,20CM
231260,653421.1201,4859066.267,103.6303,20CM
231261,653441.682,4859055.959,103.7125,X
231262,653421.3074,4859064.978,103.6724,20CM
231264,653422.4939,4859062.899,103.5967,20CM
231266,653448.2296,4859056.566,103.4587,20CM
231269,653444.9711,4859056.861,103.6328,20CM
231280,653421.0157,4859065.613,103.6527,20CM
231283,653448.316,4859056.187,103.4434,20CM
231286,653420.1349,4859068.927,103.5992,20CM
231292,653423.7342,4859060.555,103.6532,20CM
231294,653421.2631,4859063.383,103.6689,20CM
231302,653421.5852,4859063.283,103.6479,20CM
231303,653445.6408,4859055.328,103.5626,20CM
231311,653449.2286,4859056.84,103.4193,20CM
231314,653423.42,4859062.113,103.6584,20CM
231320,653418.234,4859068.464,103.7522,20CM
231329,653418.9834,4859067.354,103.813,20CM
231338,653418.6644,4859067.655,103.8043,20CM
231339,653420.9597,4859065.775,103.6572,20CM
231344,653419.9392,4859066.439,103.7443,20CM
231354,653423.1803,4859061.238,103.5864,20CM
231376,653449.6091,4859058.603,103.4025,20CM
231377,653420.8964,4859064.164,103.7973,X
231381,653442.9838,4859055.944,103.65,20CM
231382,653451.3667,4859056.516,103.351,1M
231383,653423.4319,4859060.673,103.6462,20CM
231385,653446.361,4859056.224,103.581,20CM
231386,653449.9049,4859056.046,103.4122,1M
231391,653423.1341,4859061.622,103.5813,20CM
231392,653446.6297,4859056.872,103.5297,20CM
231396,653422.2771,4859063.78,103.6503,20CM
231406,653449.6632,4859058,103.4733,20CM
231409,653421.1684,4859064.756,103.6942,20CM
231410,653443.0873,4859056.923,103.6791,20CM
231412,653420.2139,4859068.552,103.6142,20CM
231413,653422.1442,4859062.451,103.5832,20CM
231426,653443.4248,4859057.164,103.6057,20CM
231427,653421.0063,4859065.271,103.6789,20CM
231433,653449.9329,4859057.386,103.4645,20CM
231434,653449.667,4859056.79,103.4171,20CM
231440,653423.7289,4859060.875,103.673,20CM
231444,653422.568,4859062.569,103.6186,20CM
231446,653448.9022,4859056.263,103.4436,20CM
231453,653423.8437,4859062.156,103.655,20CM
231455,653443.856,4859056.574,103.6733,20CM
231460,653419.385,4859068.287,103.7631,20CM
231465,653422.5896,4859064.284,103.7131,20CM
231469,653422.1783,4859063.54,103.6249,20CM
