tagnum,Easting,Northing,elevation,precision
%d,%f,%f,%f,%s
230501,652144.6325,4860969.29,136.3541,20CM
230510,652142.9981,4860970.704,136.399,20CM
230532,652176.9862,4860984.689,134.6579,20CM
230542,652175.5358,4860980.823,134.8579,20CM
230550,652176.3816,4860985.997,134.8225,20CM
230561,652177.8646,4860985.427,134.5039,20CM
230562,652142.5698,4860972.809,135.4094,20CM
230568,652142.4155,4860972.24,135.4296,20CM
230572,652142.0169,4860976.131,135.3125,20CM
230573,652176.495,4860981.904,134.7808,20CM
230576,652142.1204,4860975.832,135.3091,20CM
230580,652144.1287,4860970.563,135.4095,20CM
230582,652140.1507,4860978.405,135.3364,20CM
230591,652142.8184,4860973.621,135.445,20CM
230597,652143.2174,4860972.707,135.4842,20CM
230607,652174.3263,4860978.111,134.8277,20CM
230608,652142.4629,4860976.353,135.2667,20CM
230610,652142.2759,4860972.843,136.1125,20CM
230615,652142.0075,4860975.36,135.3487,20CM
230624,652143.125,4860970.257,136.2081,20CM
230636,652141.7033,4860973.941,135.4415,20CM
230637,652170.1575,4860976.841,134.8995,20CM
230639,652173.6918,4860977.562,134.9367,20CM
230648,652174.8192,4860977.853,134.7975,20CM
230651,652174.5489,4860978.519,134.8269,20CM
230660,652142.2443,4860973.74,135.42,20CM
230666,652173.2083,4860982.783,135.1692,20CM
230672,652142.7886,4860973.449,135.4326,20CM
230703,652142.4139,4860975.859,135.2845,20CM
230718,652178.0861,4860985.015,134.4849,20CM
231745,652143.168,4860970.522,136.4028,20CM
230750,652178.1721,4860986.654,134.3162,20CM
230784,652143.231,4860971.549,135.4159,20CM
230811,652169.875,4861007.18,134.3148,20CM
230821,652167.6547,4860973.052,134.8584,20CM
230840,652140.9913,4860978.742,135.3707,20CM
230864,652177.7243,4860986.685,134.4299,20CM
230872,652143.8626,4860969.734,136.4261,20CM
230873,652174.377,4860976.908,134.8526,20CM
230883,652171.1906,4861008.587,134.4861,1M
230887,652143.5375,4860974.941,135.3922,20CM
230891,652141.3178,4860976.794,135.371,20CM
230894,652141.1162,4860976.241,135.4154,20CM
230900,652144.32,4860971.108,135.4684,20CM
230919,652144.0886,4860969.156,135.2079,20CM
230965,652178.4227,4860987.091,134.2262,20CM
230967,652172.6522,4860977.132,135.0039,20CM
230973,652172.0225,4860977.737,134.9795,20CM
230975,652177.9634,4860985.997,134.4509,20CM
230976,652175.8942,4860981.598,134.8496,20CM
230977,652174.6029,4860977.628,134.8179,20CM
230983,652145.2169,4860968.817,136.2735,20CM
230985,652170.9905,4861002.093,135.5901,20CM
230987,652142.6207,4860974.254,135.4482,20CM
230992,652143.097,4860971.252,135.4032,20CM
230994,652174.8549,4860979.691,134.8238,20CM
230995,652172.315,4861001.586,134.554,20CM
230998,652175.8366,4860978.847,134.6721,20CM
231004,652149.2907,4860963.396,135.2635,1M
231006,652174.8416,4860982.699,135.0026,20CM
231008,652174.3561,4860978.657,134.8624,20CM
231009,652143.5387,4860974.471,135.4304,20CM
231010,652142.9119,4860975.611,135.3159,20CM
231015,652176.2204,4860983.665,134.8343,20CM
231018,652142.5988,4860972.096,135.887,20CM
231023,652142.8542,4860970.417,134.5395,20CM
231025,652175.5862,4860981.964,134.9046,20CM
231032,652143.7552,4860971.051,135.4794,20CM
231033,652141.3847,4860977.035,135.3497,20CM
231034,652175.7401,4860984.687,134.9935,20CM
231040,652143.9403,4860969.587,135.559,20CM
231043,652175.2391,4860983.248,134.9999,20CM
231048,652172.0461,4861001.944,134.5257,20CM
231056,652173.6531,4860975.916,134.898,20CM
231058,652173.9524,4860977.152,134.8893,20CM
231059,652171.7327,4860977.716,134.9536,20CM
231060,652174.6717,4860978.229,134.8321,20CM
231063,652171.4531,4860978.989,134.9543,20CM
231064,652174.4463,4861000.07,134.2489,20CM
231065,652142.7328,4860975.978,135.2873,20CM
231066,652144.3339,4860969.62,136.2586,20CM
231070,652169.1714,4860977.329,134.9708,20CM
231071,652144.9107,4860968.617,136.3541,20CM
231073,652173.9428,4860978.384,134.9581,20CM
231075,652141.3805,4860976.297,135.3596,20CM
231077,652177.0595,4860981.878,134.695,20CM
231079,652141.6822,4860977.95,135.3301,20CM
231080,652142.5032,4860976.08,135.2706,20CM
231081,652175.6625,4860983.136,134.9536,20CM
231082,652141.5901,4860976.748,135.3292,20CM
231083,652143.4906,4860971.779,135.4456,20CM
231085,652143.4007,4860970.735,135.3977,20CM
231086,652172.8595,4861001.76,134.5904,20CM
231088,652176.8296,4860987.065,134.5637,20CM
231089,652143.6348,4860971.945,135.5084,X
231090,652143.901,4860970.55,135.4285,20CM
231092,652142.2907,4860974.704,135.4608,20CM
231094,652175.5363,4860978.883,134.6918,20CM
231097,652175.9759,4860984.837,135.021,X
231099,652142.7016,4860971.794,135.3835,20CM
231100,652175.2214,4860982.099,134.8927,20CM
231101,652143.065,4860968.525,135.568,1M
231103,652174.2606,4860977.755,134.8696,20CM
231104,652143.0245,4860971.997,136.0534,20CM
231106,652142.4663,4860972.975,135.434,20CM
231109,652142.8272,4860972.568,135.4415,20CM
231110,652173.5234,4860978.615,134.9954,20CM
231111,652140.7562,4860977.329,135.3735,20CM
231112,652142.7025,4860975.794,135.2932,20CM
231113,652141.2082,4860977.161,135.3363,20CM
231114,652172.2361,4860977.942,134.9809,20CM
231115,652177.1153,4860987.647,134.4838,20CM
231116,652171.3737,4860978.347,135.0798,20CM
231118,652172.3063,4860977.572,134.9841,20CM
231119,652176.6187,4860983.383,134.8215,20CM
231121,652142.4297,4860974.125,135.4697,20CM
231124,652142.534,4860973.29,135.4446,20CM
231125,652143.0354,4860973.874,135.4602,20CM
231129,652140.8101,4860977.62,135.3556,20CM
231135,652170.7536,4861004.46,134.4403,20CM
231137,652142.2362,4860976.902,135.3362,20CM
231144,652142.3184,4860975.062,135.3641,20CM
231146,652143.5881,4860973.934,135.4556,20CM
231150,652142.4825,4860973.547,135.4441,20CM
231151,652173.4034,4860981.722,135.0638,20CM
231154,652174.2642,4860999.084,134.2442,20CM
231155,652175.5251,4861000.33,134.0181,1M
231158,652173.074,4860977.067,134.9378,20CM
231159,652169.7113,4860972.843,135.0716,20CM
231161,652142.0972,4860969.424,135.3804,1M
231102,652142.2791,4860971.463,136.3429,20CM
231650,652141.8874,4860977.201,135.3577,20CM
231651,652168.1355,4860975.554,134.8744,20CM
231652,652172.1021,4860977.039,134.9247,20CM
231653,652176.3781,4860981.675,134.8043,20CM
231654,652172.9206,4860978.835,134.9717,20CM
231655,652141.1794,4860978.083,135.355,20CM
231656,652175.7931,4860984.359,134.9787,20CM
231657,652142.6621,4860975.023,135.3413,20CM
231658,652142.2942,4860976.142,135.2841,20CM
231659,652143.2098,4860970.89,135.4057,20CM
231660,652143.4576,4860972.882,135.4742,20CM
231661,652143.4174,4860971.518,136.0721,20CM
231662,652143.3387,4860970.177,136.4193,20CM
231663,652142.4042,4860971.468,136.3612,20CM
231664,652143.5527,4860971.519,136.1348,20CM
231665,652141.7918,4860975.583,135.3833,20CM
231666,652172.1315,4860978.563,134.8832,20CM
231667,652172.4495,4860979.055,134.8043,20CM
231668,652173.6989,4860979.25,134.9291,20CM
231669,652141.9924,4860974.226,135.438,20CM
231670,652141.0153,4860977.956,135.3222,20CM
231671,652173.9713,4860979.044,134.9825,20CM
231672,652142.1005,4860976.407,135.3033,20CM
231673,652173.5177,4860978.139,134.9745,20CM
231674,652144.1159,4860969.041,135.154,20CM
231675,652174.9945,4860981.067,134.8889,20CM
231676,652142.3764,4860975.385,135.3398,20CM
231677,652175.6592,4860981.1,134.9043,20CM
231678,652173.2586,4860977.061,134.9644,20CM
231679,652142.4858,4860973.908,135.5903,X
231681,652141.7965,4860973.761,135.4329,20CM
231682,652170.7619,4861005.03,134.4408,20CM
231683,652174.5648,4860986.142,135.2747,20CM
231684,652175.2759,4860979.338,134.8101,20CM
231685,652172.2879,4860976.372,134.9717,20CM
231686,652170.6589,4860976.419,134.8961,20CM
231687,652141.9785,4860977.762,135.3372,20CM
231688,652175.0987,4860978.838,134.8295,20CM
231689,652173.3905,4860977.653,134.9102,20CM
231690,652142.04,4860970.115,135.9199,20CM
231691,652173.5786,4860977.029,134.9079,20CM
231692,652172.354,4860977.216,134.9766,20CM
231693,652142.2851,4860973.194,135.4382,20CM
231694,652142.1464,4860972.332,135.8698,20CM
231695,652140.3792,4860977.201,135.4216,20CM
231698,652141.4656,4860975.816,135.3542,20CM
231699,652143.2619,4860973.076,135.45,20CM
231700,652172.8885,4860978.095,134.9905,20CM
231701,652144.4866,4860969.817,136.144,20CM
231702,652175.3035,4860981.011,134.8819,20CM
231703,652142.4155,4860970.98,136.3,20CM
231704,652142.8777,4860974.148,135.4563,20CM
231705,652174.2045,4860978.316,135.02,X
231706,652142.1545,4860976.707,135.3113,20CM
231707,652142.1,4860972.428,135.8786,20CM
231708,652168.8052,4860977.375,135.0015,20CM
231709,652174.1646,4860977.318,134.891,20CM
231710,652173.8625,4860977.713,134.8969,20CM
231711,652175.5375,4860982.654,135.0017,20CM
231712,652175.4229,4860980.427,134.8278,20CM
231713,652173.6991,4860978.854,134.9599,20CM
231714,652144.1124,4860969.55,136.4192,20CM
231715,652168.6546,4860977.097,134.9819,20CM
231716,652171.0195,4860977.968,135.0662,20CM
231717,652174.5632,4860977.995,134.7906,20CM
231718,652143.1725,4860973.531,135.4414,20CM
231719,652173.7102,4860978.467,134.9653,20CM
231720,652168.389,4860975.33,134.8165,20CM
231721,652172.4019,4860978.263,134.9363,20CM
231722,652173.7912,4860980.755,134.918,20CM
231723,652142.0426,4860975.588,135.335,20CM
231724,652141.1703,4860978.779,135.3285,20CM
231725,652141.0286,4860976.976,135.3794,20CM
231726,652139.8323,4860978.099,135.4156,20CM
231727,652176.2991,4860982.15,134.8575,20CM
231728,652173.1742,4860981.121,135.0014,20CM
231730,652140.8969,4860978.522,135.36,20CM
231731,652140.9581,4860976.512,135.3906,20CM
231732,652172.8442,4860977.568,134.9945,20CM
231734,652142.781,4860973.239,135.4461,20CM
231735,652141.7581,4860974.583,135.4462,20CM
231736,652143.6195,4860972.987,135.5026,20CM
231737,652143.2466,4860972.466,135.4371,20CM
231738,652176.0806,4860979.1,134.6345,20CM
231739,652141.1198,4860978.363,135.3412,20CM
231740,652176.5245,4860982.26,134.7788,20CM
231741,652142.1363,4860973.981,135.4269,20CM
231742,652143.2743,4860969.879,136.3235,20CM
231743,652173.9626,4860977.525,134.8911,20CM
231744,652175.9878,4860982.888,134.8814,20CM
231746,652172.6596,4860976.811,134.9634,20CM
231747,652168.8523,4860976.278,134.9142,20CM
231748,652176.8687,4860986.815,134.5728,20CM
231749,652175.8287,4860979.153,134.6574,20CM
231950,652142.7171,4860973.808,135.4565,20CM
231951,652141.3572,4860977.836,135.3659,20CM
231952,652142.4372,4860975.533,135.4583,20CM
231953,652173.153,4860977.249,134.985,20CM
231954,652140.6862,4860978.994,135.3452,20CM
231955,652172.3063,4860975.951,135.2165,X
231956,652168.8564,4860975.364,134.796,20CM
231957,652143.1205,4860971.677,135.427,20CM
231958,652141.9645,4860976.534,135.2885,20CM
231959,652141.2733,4860975.453,135.4163,20CM
231960,652173.086,4860976.687,134.9462,20CM
231961,652140.9447,4860975.625,135.6394,20CM
231962,652142.9905,4860972.312,135.476,20CM
231963,652172.2272,4860977.754,134.9688,20CM
231964,652142.7937,4860970.905,136.4048,20CM
231965,652141.7676,4860974.935,135.4703,20CM
231966,652168.1825,4860976.141,134.8865,20CM
231967,652171.0466,4860975.749,135.022,20CM
231968,652142.1963,4860973.422,135.4665,20CM
231969,652140.5368,4860976.999,135.4227,20CM
231970,652142.336,4860972.486,135.4471,20CM
231971,652167.2573,4860972.494,134.9079,20CM
231972,652177.441,4860987.031,134.4741,20CM
231973,652173.059,4860980.054,134.9499,20CM
