tagnum,Easting,Northing,elevation,precision
%d,%f,%f,%f,%s
230500,653448.4466,4859055.857,102.901857,20CM
230502,653447.126,4859057.427,102.817855,20CM
230503,653422.7346,4859063.563,104.295132,20CM
230507,653423.4135,4859061.134,104.37639,20CM
230513,653446.9423,4859056.455,103.05211,20CM
230529,653448.2262,4859055.751,102.902776,20CM
230544,653445.0106,4859056.162,103.324748,20CM
230549,653445.2563,4859056.905,103.217154,20CM
230555,653450.4378,4859055.105,102.882491,20CM
230556,653443.4471,4859056.172,103.480995,20CM
230558,653420.9164,4859066.163,104.130753,20CM
230564,653445.4352,4859055.898,103.291109,20CM
230565,653421.3921,4859063.847,104.303046,20CM
230569,653443.0196,4859056.555,103.47488,20CM
230570,653418.6767,4859068.623,104.22875,20CM
230575,653421.282,4859067.347,104.106652,20CM
230578,653448.2585,4859056.816,102.805851,20CM
230579,653448.1035,4859054.938,103.094442,20CM
230594,653422.5434,4859061.05,104.411031,20CM
230627,653420.7412,4859065.005,104.364582,20CM
230628,653420.0458,4859067.603,104.147533,20CM
230633,653444.6481,4859056.698,103.303407,X
230634,653446.8163,4859057.471,102.752249,20CM
230641,653446.4619,4859055.098,103.16585,20CM
230643,653450.3414,4859055.763,102.77326,20CM
230644,653422.9628,4859064.573,104.203643,20CM
230653,653442.2582,4859056.586,103.528338,20CM
230657,653422.8472,4859064.265,104.276536,20CM
230659,653448.3816,4859056.087,102.860139,20CM
230661,653422.8853,4859060.266,104.522353,20CM
230662,653419.7407,4859068.342,104.044885,20CM
230668,653450.0643,4859055.307,102.848417,20CM
230670,653449.3549,4859055.137,102.990737,20CM
230684,653422.5239,4859062.137,104.301733,20CM
230687,653441.1931,4859055.627,103.599092,20CM
230691,653447.2686,4859057.086,102.931829,X
230697,653447.2263,4859055.388,103.143214,20CM
230698,653422.5237,4859064.953,104.269129,20CM
230712,653423.1818,4859063.766,104.24722,20CM
230732,653444.2108,4859054.611,103.386436,20CM
230739,653443.7262,4859055.126,103.370952,20CM
230741,653420.0839,4859067.966,104.153524,20CM
230755,653421.489,4859062.71,104.351657,20CM
230763,653421.8974,4859065.141,104.233521,20CM
230772,653448.8784,4859057.603,102.775287,20CM
230783,653442.3362,4859056.221,103.500806,20CM
230786,653421.5719,4859063.579,104.336697,20CM
230789,653446.3916,4859055.517,103.209015,20CM
230797,653421.0856,4859065.929,104.129033,20CM
230799,653423.3953,4859060.389,104.500627,20CM
230800,653420.3814,4859067.127,104.14875,20CM
