tagnum,Easting,Northing,elevation,precision
%d,%f,%f,%f,%s
230500,653450.8086,4859057.165,103.3474,20CM
230502,653449.0805,4859058.009,103.4992,20CM
230503,653422.5501,4859063.741,103.6634,20CM
230507,653423.4391,4859060.624,103.6164,20CM
230513,653447.1517,4859056.483,103.5162,20CM
230529,653449.2772,4859055.627,103.5357,20CM
230544,653445.1411,4859056.32,103.6622,20CM
230549,653445.3092,4859057.004,103.6402,20CM
230555,653450.497,4859055.151,103.5328,20CM
230556,653443.538,4859056.288,103.6567,20CM
230558,653421.1158,4859066.088,103.6503,20CM
230564,653445.5729,4859056.248,103.6694,20CM
230565,653421.441,4859063.875,103.6691,20CM
230569,653443.1336,4859056.565,103.6749,X
230570,653419.5116,4859068.015,103.7252,20CM
230575,653421.8621,4859067.3,103.7422,20CM
230578,653448.7637,4859056.752,103.4445,20CM
230594,653422.704,4859061.016,103.6129,20CM
230628,653420.3908,4859067.464,103.6577,20CM
230633,653445.6289,4859057.554,103.5129,20CM
230634,653448.9873,4859058.561,103.5042,20CM
230641,653447.7931,4859055.386,103.4829,20CM
230643,653450.4646,4859056.289,103.3907,20CM
230644,653422.992,4859064.603,103.7351,20CM
230653,653443.8242,4859056.24,103.6503,20CM
230657,653424.3552,4859060.282,103.7162,20CM
230659,653450.5341,4859056.954,103.3092,20CM
230661,653422.2707,4859058.45,103.5998,20CM
230662,653419.779,4859068.076,103.7021,20CM
230668,653450.1173,4859055.412,103.4862,20CM
230670,653449.6172,4859055.358,103.5399,20CM
230684,653422.5083,4859062.413,103.5537,20CM
230687,653441.3195,4859055.595,103.6642,20CM
230697,653458.4418,4859054.375,103.4772,20CM
230698,653422.8413,4859065.063,103.694,20CM
230712,653423.3547,4859063.792,103.6919,20CM
230732,653444.5407,4859054.776,103.5321,20CM
230741,653420.0528,4859067.653,103.6713,20CM
230755,653421.3901,4859062.752,103.6449,20CM
230763,653421.7945,4859065.045,103.6589,20CM
230781,653448.3997,4859056.466,103.4854,20CM
230783,653442.5301,4859056.326,103.7047,20CM
230786,653421.6977,4859063.493,103.6143,20CM
230789,653448.1002,4859056.537,103.5288,20CM
230797,653421.2789,4859065.713,103.667,20CM
230799,653423.2805,4859060.201,103.6677,20CM
